sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Ni08,58CO,09/23/2025 18:35:00,h,2113.607207738381,134.13420050759427,[2113.607207738381],[[17991.983745811503]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni08_peakData_combined.csv,
Ni08,57CO,09/23/2025 18:35:00,h,6616.396756748415,335.64515897632106,[6616.396756748415],[[112657.67274423984]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni08_peakData_combined.csv,
Ni08,55CO,09/23/2025 18:35:00,h,18394.712313332748,1934.603978106227,"[18394.712313332748, 0.0]","[[3742692.552104439, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni08_peakData_combined.csv,
Ni09,57NI,09/23/2025 18:35:00,h,779096.9766924706,86556.1726489961,"[779096.9766924706, 0.0]","[[7491971023.642819, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni09_peakData_combined.csv,
Ni09,56CO,09/23/2025 18:35:00,h,1728.5377139158725,36.31227249362522,[1728.5377139158725],[[1318.581133651291]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni09_peakData_combined.csv,
Ni09,56NI,09/23/2025 18:35:00,h,1158.6311676282858,181.1481937980521,"[1158.6311676282858, 0.0]","[[32814.668116296634, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni09_peakData_combined.csv,
Ni09,58CO,09/23/2025 18:35:00,h,598.0257870277082,126.12914988070257,[598.0257870277082],[[15908.562449628735]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni09_peakData_combined.csv,
Ni09,57CO,09/23/2025 18:35:00,h,8191.032703544332,351.9246360157852,[8191.032703544332],[[123850.94943484291]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni09_peakData_combined.csv,
Ni09,55CO,09/23/2025 18:35:00,h,25529.981570068074,2801.6967005898573,"[25529.981570068074, 0.0]","[[7849504.402096094, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni09_peakData_combined.csv,
Ni10,57NI,09/23/2025 18:35:00,h,737588.310897222,100769.68121186121,"[737588.310897222, 0.0]","[[10154528651.540136, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni10_peakData_combined.csv,
Ni10,56CO,09/23/2025 18:35:00,h,656.8892702856886,10.175300424264586,[656.8892702856886],[[103.53673872403907]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni10_peakData_combined.csv,
Ni10,56NI,09/23/2025 18:35:00,h,702.6839677377114,104.53691272978237,"[702.6839677377114, 0.0]","[[10927.966123074135, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni10_peakData_combined.csv,
